AUDIT declarations=18279 symbols=4222
SYMBOL rank=1 name=fn_80201814 declarations=404 declaring_tus=404 blast_radius_tus=10 confidence=low
VARIANT name=fn_80201814 declaration="void* fn_80201814()" declarations=394 declaring_tus=394 call_sites=488
VARIANT name=fn_80201814 declaration="void* fn_80201814(void*)" declarations=8 declaring_tus=8 call_sites=9
VARIANT name=fn_80201814 declaration="void* fn_80201814(u32)" declarations=1 declaring_tus=1 call_sites=1
VARIANT name=fn_80201814 declaration="u32 fn_80201814(void*)" declarations=1 declaring_tus=1 call_sites=1
DISAGREEING_TU name=fn_80201814 path=src/game/game_fn_80191568.c
DISAGREEING_TU name=fn_80201814 path=src/game/game_fn_80191C8C.c
DISAGREEING_TU name=fn_80201814 path=src/game/game_fn_80191F58.c
DISAGREEING_TU name=fn_80201814 path=src/game/game_fn_80192318.c
DISAGREEING_TU name=fn_80201814 path=src/game/game_fn_801926EC.c
DISAGREEING_TU name=fn_80201814 path=src/game/game_fn_801929A4.c
DISAGREEING_TU name=fn_80201814 path=src/game/game_fn_80192F54.c
DISAGREEING_TU name=fn_80201814 path=src/game/game_fn_801931C4.c
DISAGREEING_TU name=fn_80201814 path=src/game/game_fn_80199868.c
DISAGREEING_TU name=fn_80201814 path=src/game/game_fn_8019D390.c
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_800069DC.c:60
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80006D50.c:56
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_800082A4.c:81
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80008D24.c:48
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80008EA4.c:27
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80009248.c:26
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80009AB4.c:38
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80009BE8.c:31
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80009E70.c:26
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80009FE4.c:29
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000A0A0.c:57
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000A4FC.c:23
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000A5A8.c:24
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000A8C4.c:26
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000A9A4.c:34
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000AA8C.c:42
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000AB88.c:31
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000AC88.c:57
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000AE14.c:20
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000AEB4.c:32
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000B20C.c:34
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000B36C.c:22
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000B444.c:38
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000B630.c:24
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000B734.c:34
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000B7FC.c:36
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000BAA0.c:41
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000BB98.c:21
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000BC40.c:49
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000C06C.c:26
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000C220.c:32
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000C91C.c:43
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000CC68.c:34
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000D0BC.c:24
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000D188.c:21
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000D218.c:27
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000D590.c:49
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000D7C8.c:25
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000D978.c:34
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000DBD8.c:27
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000DBD8.c:28
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000DCF8.c:26
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000DDAC.c:41
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000E1C4.c:40
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000E2A8.c:38
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000E428.c:25
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000E4CC.c:44
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000E4CC.c:54
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000E84C.c:40
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000E96C.c:65
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000EB14.c:28
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000EBD4.c:28
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000EC94.c:35
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000EDF0.c:14
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000F1DC.c:62
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000F38C.c:33
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000F5C8.c:27
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000F5C8.c:28
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000F774.c:265
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8000F774.c:267
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_800115CC.c:41
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_800116E8.c:51
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_800117CC.c:37
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80011888.c:61
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_800119FC.c:52
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80011B54.c:39
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80011C10.c:46
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80011CE0.c:55
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80011E1C.c:39
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80012008.c:31
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80012160.c:23
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80012E34.c:29
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80012FD0.c:29
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_800133CC.c:43
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80013564.c:26
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80013614.c:26
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_800136C4.c:19
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80013B98.c:29
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80013F88.c:40
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80014144.c:11
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80014238.c:22
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80015888.c:31
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80016D68.c:54
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_800173CC.c:47
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_800173CC.c:56
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_800173CC.c:72
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_800176F0.c:47
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80019F98.c:101
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001A2A4.c:25
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001ADF8.c:41
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001AF68.c:44
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001B124.c:43
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001B294.c:45
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001B3F0.c:25
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001B4AC.c:47
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001B4AC.c:49
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001B6CC.c:28
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001BAE4.c:109
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001BAE4.c:111
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001BAE4.c:49
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001BAE4.c:50
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001BFD0.c:35
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001C250.c:25
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001C6D8.c:30
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001CC6C.c:29
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001D36C.c:21
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8001D3F8.c:28
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80027948.c:74
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80027948.c:76
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80027948.c:82
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80027B78.c:20
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80027B78.c:21
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80027E34.c:38
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80028198.c:189
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80028198.c:193
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002C4BC.c:69
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002C4BC.c:94
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002CBF8.c:136
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002D3B0.c:50
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002D69C.c:79
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002DAE0.c:126
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002DAE0.c:173
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002DAE0.c:205
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002E248.c:66
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002E248.c:85
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002E3F0.c:43
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002E3F0.c:60
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002E3F0.c:75
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002E77C.c:111
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002EA68.c:108
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002EA68.c:133
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002EA68.c:169
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002EA68.c:177
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002EA68.c:203
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002EA68.c:204
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002EA68.c:237
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002EA68.c:254
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002F428.c:102
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002FAE8.c:174
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002FAE8.c:175
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002FAE8.c:279
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002FAE8.c:295
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002FAE8.c:296
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002FAE8.c:390
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8002FAE8.c:599
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80031A00.c:56
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8003232C.c:104
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8003232C.c:107
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8003232C.c:132
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8003232C.c:134
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8003232C.c:174
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_8003232C.c:93
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80033970.c:152
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_800359A0.c:181
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_800359A0.c:255
PROPOSED_CALL name=fn_80201814 site=src/game/game_fn_80036104.c:30
